filename,label,vlm_response
crop_1455_f02658_c0.55_clip_20-23min.jpg,tp,YES.
crop_1481_f02782_c0.50_clip_20-23min.jpg,tp,YES.
crop_1494_f02789_c0.70_clip_20-23min.jpg,fp,NO.
crop_1516_f02801_c0.44_clip_20-23min.jpg,tp,YES.
crop_1554_f02816_c0.62_clip_20-23min.jpg,tp,YES.
crop_1556_f02817_c0.65_clip_20-23min.jpg,tp,YES.
crop_1643_f02938_c0.40_clip_20-23min.jpg,fp,NO.
crop_1857_f03104_c0.53_clip_20-23min.jpg,tp,YES.
crop_1893_f03131_c0.64_clip_20-23min.jpg,tp,YES.
crop_2187_f03455_c0.37_clip_20-23min.jpg,tp,YES.
crop_2281_f03521_c0.38_clip_20-23min.jpg,tp,YES.
crop_2364_f03594_c0.43_clip_20-23min.jpg,fp,NO.
crop_2495_f03680_c0.61_clip_20-23min.jpg,tp,YES.
crop_2600_f03734_c0.55_clip_20-23min.jpg,tp,YES.
crop_2603_f03736_c0.49_clip_20-23min.jpg,tp,YES.
crop_2621_f03753_c0.38_clip_20-23min.jpg,tp,YES.
crop_2654_f03780_c0.57_clip_20-23min.jpg,tp,YES.
crop_2708_f03881_c0.49_clip_20-23min.jpg,tp,YES.
crop_2745_f03910_c0.57_clip_20-23min.jpg,tp,YES.
crop_2799_f03956_c0.62_clip_20-23min.jpg,fp,NO.
crop_2804_f03958_c0.50_clip_20-23min.jpg,fp,NO.
crop_2818_f03963_c0.52_clip_20-23min.jpg,tp,YES.
crop_2874_f04019_c0.39_clip_20-23min.jpg,fp,NO.
crop_2885_f04030_c0.36_clip_20-23min.jpg,tp,YES.
